MaxIterations,Avg. L2,Adv Acc
1,2.640603e-07,0.9796428680419922
6,0.00015077219,0.9768571257591248
11,0.00056399003,0.9734285473823547
16,0.0012652786,0.9697856903076172
100,0.21056603,0.7516428828239441
150,0.3673333,0.6502857208251953
200,0.3955574,0.6236428618431091



MaxIterations,Avg. L2,Adv Acc
1,2.640603e-07,0.9796428680419922
100,0.21056603,0.7516428828239441
200,0.3955574,0.6236428618431091
300,0.6031597,0.5106428861618042
400,0.72733426,0.42964285612106323
500,0.85573393,0.3538571298122406
600,0.97734094,0.27542856335639954
700,0.9655296,0.26328572630882263
800,0.9452473,0.25857141613960266
900,0.9383425,0.24978572130203247
1000,0.91001993,0.2522142827510834
1200,0.8856458,0.23557142913341522
1400,0.8636912,0.2418571412563324
1600,0.8650369,0.21078571677207947
4000,0.8015,0.1997900002002716