Epsilon,w/o DimShield (Acc.),w DimShield (Acc.),w/o DimShield (Loss.),w DimShield (Loss.)
0.2,0.007000000216066837,0.8665000200271606
0.19,0.005499999970197678,0.8769999742507935
0.18,0.004999999888241291,0.8709999918937683
0.17,0.006500000134110451,0.8840000033378601
0.16,0.005499999970197678,0.8939999938011169
0.15,0.006000000052154064,0.8899999856948853
0.14,0.007000000216066837,0.890999972820282
0.13,0.007499999832361937,0.8920000195503235
0.12,0.009499999694526196,0.9049999713897705
0.11,0.010999999940395355,0.9045000076293945
0.1,0.01549999974668026,0.9169999957084656
0.1,0.007000000216066837,0.9075000286102295
0.09,0.024000000208616257,0.9125000238418579
0.08,0.07050000131130219,0.9210000038146973
0.07,0.16949999332427979,0.9200000166893005
0.06,0.3725000023841858,0.9244999885559082
0.05,0.640500009059906,0.9240000247955322
0.04,0.8234999775886536,0.9254999756813049
0.03,0.8939999938011169,0.9265000224113464
0.02,0.9419999718666077,0.9240000247955322
0.01,0.9670000076293945,0.9300000071525574